6679d5d9-4138-44ac-b3c7-782353d3ab1d	seller-test01	1	100	フリーマーケットの商品写真ですが、詳細は不明です。	\N	pending	\N	2025-11-14 15:57:25.370312+00	2025-11-14 15:57:25.370312+00	0	\N	\N	\N	0	\N	\N	\N
a8f70ca2-b77d-4d69-b537-c9cd2dfd85c3	seller-test01	2	500	商品の説明（日本語、50文字以内）	\N	pending	\N	2025-11-14 16:11:27.877617+00	2025-11-14 16:11:27.877617+00	0	\N	\N	\N	0	\N	\N	\N
9ce19f3b-04e2-4586-8965-69bd60a1f207	seller-test01	3	100	商品情報が見つかりませんでした。	\N	pending	\N	2025-11-14 16:32:47.338099+00	2025-11-14 16:32:47.338099+00	0	\N	\N	\N	0	\N	\N	\N
70f379ed-6832-4426-9ae6-b1eec27a9891	seller-test01	4	100	商品情報が確認できません。	\N	pending	\N	2025-11-14 20:27:12.162674+00	2025-11-14 20:27:12.162674+00	0	\N	\N	\N	0	\N	\N	\N
43758bcf-7b0c-4e56-8e1b-8492f871377b	seller-test01	7	3500	モンスターキャラクターのフィギュア	\N	pending	\N	2025-11-14 22:25:39.748435+00	2025-11-14 22:25:39.748435+00	0	\N	\N	\N	0	\N	\N	\N
8a0a5076-cdb7-4f1f-b8bb-59ccb832d0bb	seller-test01	8	3000	可愛いキャラクターのキーホルダーです。	\N	pending	\N	2025-11-14 22:44:52.774497+00	2025-11-14 22:44:52.774497+00	0	\N	\N	\N	0	\N	\N	\N
3d853124-afb0-4172-abbf-d71ae15938a6	seller-test01	9	111	フリーマーケットの商品	\N	paid	pi_3STVw6FxJXkefVMu0Pqd4aDI	2025-11-14 22:56:12.608982+00	2025-11-14 22:57:56.59264+00	0	\N	\N	\N	0	\N	\N	\N
2c11c47e-fb58-4272-81fa-32b96fc2001a	seller-test01	10	100	セーラームーンのキャラクターカード	\N	paid	pi_3STVyGFxJXkefVMu1zuCXVf0	2025-11-14 22:59:42.835709+00	2025-11-14 23:00:12.487909+00	0	\N	\N	\N	0	\N	\N	\N
8b0d09e0-c47b-472a-b599-c21715cfe8aa	seller-test01	11	200	ポケモンカードのコレクションアイテム	\N	paid	pi_3STW7fFxJXkefVMu1fGqTTTo	2025-11-14 23:09:24.39884+00	2025-11-14 23:09:54.91491+00	0	\N	\N	\N	0	\N	\N	\N
b7516987-e0c1-465b-9495-b33bd3114dd9	seller-test01	12	500	アニメキャラクターのカードが並んでいる商品	\N	paid	pi_3STWFFFxJXkefVMu0q3ZIM8i	2025-11-14 23:16:59.953103+00	2025-11-14 23:17:45.705876+00	0	\N	\N	\N	0	\N	\N	\N
4cfe9e68-467c-4758-bc7a-e55b0e205021	seller-test01	5	200	商品情報が確認できません。	\N	paid	pi_3STTqQFxJXkefVMu0fvf7tNX	2025-11-14 20:43:30.19788+00	2025-11-14 23:46:35.679361+00	0	\N	\N	\N	0	\N	\N	\N
40d5f3bb-816c-4fed-b61e-102716f4e41d	seller-test01	6	110	商品の説明（日本語、50文字以内）	\N	paid	pi_3STTxvFxJXkefVMu1TlTZ8y2	2025-11-14 20:50:11.948496+00	2025-11-14 23:50:02.876746+00	0	\N	\N	\N	0	\N	\N	\N
2f50c6d1-f83d-44f5-8c33-04fdde88b1d5	seller-test01	13	100	サントリーの生ビールが入ったジョッキ	\N	pending	\N	2025-11-15 07:34:27.225683+00	2025-11-15 07:34:27.225683+00	0	\N	\N	\N	0	\N	\N	\N
facd02bc-0f67-452b-a791-b6d3eef9329a	seller-test01	14	1500	ポケモンのカードパック、強化拡張パックです。	\N	pending	\N	2025-11-16 00:31:25.359156+00	2025-11-16 00:31:25.359156+00	0	\N	\N	\N	0	\N	\N	\N
e7ecfe6b-146b-4278-afd0-e3e53188d896	seller-test01	15	8000	ワンピースのカードゲーム、楽しいバトルが楽しめる。	\N	pending	\N	2025-11-16 00:33:09.4157+00	2025-11-16 00:33:09.4157+00	0	\N	\N	\N	0	\N	\N	\N
6286b6c2-2fd9-407a-88f2-a84b161dcfbc	seller-test01	16	111	キャラクターのシール	\N	paid	pi_3STud5FxJXkefVMu15tkrUuY	2025-11-16 01:19:33.55073+00	2025-11-16 01:19:59.46612+00	0	\N	\N	\N	0	\N	\N	\N
4539ebaa-8dc7-448f-863d-d90d483642b3	seller-test01	17	3000	モンスターのフィギュアセット	\N	pending	\N	2025-11-16 01:58:38.928663+00	2025-11-16 01:58:38.928663+00	0	\N	\N	\N	0	\N	\N	\N
9156a25e-f37a-49b5-bc38-66a73a2eebf9	seller-test01	18	3500	ポケモンカードパックとキャラクターカードのセット	\N	paid	pi_3STvOpFxJXkefVMu1qSLsSpV	2025-11-16 02:08:24.874742+00	2025-11-16 02:09:18.498414+00	0	\N	\N	\N	0	\N	\N	\N
90ea8901-c627-4ec2-89b8-56725f9a954a	seller-test01	19	2500	フシギダネのカードです。	\N	paid	pi_3STxt6FxJXkefVMu12fHxbGR	2025-11-16 04:48:04.051522+00	2025-11-16 04:48:34.512271+00	0	\N	\N	\N	0	\N	\N	\N
